brand,model,year,km_driven,fuel_type,transmission_type,mileage,selling_price
hyundai,grand,2015,63776,diesel,manual,24.0,396000
hyundai,elite,2015,28133,petrol,manual,18.6,560000
tata,zest,2017,45000,diesel,manual,22.95,375000
hyundai,i20,2015,55697,diesel,manual,22.54,550000
skoda,rapid,2012,62000,diesel,manual,20.5,300000
fiat,linea,2011,48000,petrol,manual,16.0,300000
maruti,swift,2010,90246,petrol,manual,16.1,295000
tata,indica,2015,80500,diesel,manual,25.0,245000
mercedes-benz,new,2012,119000,diesel,automatic,14.84,1399000
mercedes-benz,gle,2016,28541,diesel,automatic,11.57,6075000
hyundai,santro,2008,45500,petrol,manual,0.0,117000
honda,city,2012,41000,petrol,manual,16.8,450000
hyundai,i20,2010,58000,petrol,manual,18.5,250000
toyota,fortuner,2015,99000,diesel,manual,13.0,2050000
hyundai,grand,2014,31200,petrol,manual,18.9,390000
volkswagen,jetta,2009,85000,diesel,manual,15.0,350000
ford,ecosport,2016,60924,petrol,automatic,15.63,830000
hyundai,eon,2012,45000,petrol,manual,21.1,250000
nissan,micra,2011,44000,petrol,automatic,19.15,265000
honda,jazz,2016,30534,petrol,automatic,19.0,742000
volkswagen,polo,2016,46399,petrol,manual,16.47,463000
maruti,alto,2008,42000,petrol,manual,19.7,109000
hyundai,verna,2011,67000,diesel,manual,22.32,380000
mercedes-benz,e-class,2013,58000,diesel,automatic,10.0,1575000
tata,zest,2015,27000,petrol,manual,17.57,527000
honda,brio,2012,39566,petrol,manual,18.4,275000
honda,jazz,2016,14980,diesel,manual,27.3,740000
maruti,alto,2017,18491,petrol,automatic,24.07,390000
maruti,zen,2000,90000,petrol,manual,17.3,70000
hyundai,i20,2015,118211,diesel,manual,22.54,590000
maruti,sx4,2016,63316,diesel,manual,22.7,958000
mercedes-benz,e-class,2014,42000,diesel,automatic,14.21,2495000
chevrolet,enjoy,2015,25648,petrol,manual,13.7,429000
mercedes-benz,e-class,2011,67612,diesel,automatic,14.21,1150000
mahindra,xuv500,2016,33000,diesel,manual,16.0,965000
hyundai,i10,2015,20000,petrol,manual,20.36,375000
hyundai,getz,2007,143000,petrol,manual,14.2,110000
audi,q7,2014,118218,diesel,automatic,12.07,3141000
mahindra,scorpio,2012,99000,diesel,manual,12.05,600000
honda,jazz,2016,22700,petrol,manual,18.7,555000
tata,safari,2017,28000,diesel,manual,14.0,1091000
mahindra,xuv500,2014,62000,diesel,manual,15.1,725000
volkswagen,polo,2012,107023,diesel,manual,22.07,390000
maruti,swift dzire,2012,71082,diesel,manual,19.3,395000
audi,q3,2013,60000,diesel,automatic,15.73,2200000
maruti,celerio,2014,21701,petrol,manual,23.1,338000
honda,city,2011,56000,petrol,manual,16.8,345000
hyundai,i20,2016,32450,petrol,manual,18.6,575000
renault,kwid,2016,12500,petrol,manual,25.17,275000
mercedes-benz,cla,2019,20483,diesel,automatic,17.9,3030000
ford,ecosport,2014,45800,diesel,manual,22.7,750000
hyundai,i20,2015,35441,petrol,manual,18.6,687000
toyota,innova,2015,86398,diesel,manual,12.99,1520000
nissan,sunny,2012,150000,diesel,manual,21.64,350000
maruti,swift,2014,89000,diesel,manual,25.2,585000
maruti,a-star,2010,68375,petrol,manual,19.0,250000
maruti,swift,2013,52000,petrol,manual,18.6,395000
mercedes-benz,cla,2017,39000,diesel,automatic,17.9,2700000
maruti,ertiga,2014,68000,petrol,manual,16.02,675000
maruti,wagon r,2007,71000,petrol,manual,18.9,150000
volkswagen,polo,2012,72003,diesel,manual,22.07,390000
ford,ecosport,2014,135670,diesel,manual,22.7,655000
honda,city,2017,65850,diesel,manual,25.1,944000
toyota,corolla,2015,53920,petrol,manual,14.28,1077000
mahindra,xuv500,2014,58000,diesel,manual,15.1,750000
maruti,alto,2016,4000,petrol,manual,24.7,300000
bmw,5,2010,58000,diesel,automatic,18.59,1175000
hyundai,eon,2016,29832,petrol,manual,21.1,329000
maruti,swift dzire,2016,71156,diesel,manual,26.59,650000
maruti,celerio,2015,64687,cng,manual,31.79,380000
audi,a4,2011,54000,diesel,automatic,16.55,1800000
skoda,superb,2009,75000,petrol,automatic,13.7,495000
tata,zest,2015,39208,petrol,manual,17.57,451999
force,one,2014,41000,diesel,manual,17.0,800000
honda,city,2013,38622,petrol,manual,17.4,626000
nissan,sunny,2016,18000,petrol,manual,16.95,750000
maruti,swift,2012,52000,petrol,manual,16.1,365000
volkswagen,vento,2011,45000,petrol,automatic,14.4,335000
hyundai,verna,2014,48656,petrol,automatic,15.74,550000
hyundai,verna,2012,79000,diesel,automatic,22.0,525000
audi,a4,2012,88000,diesel,automatic,16.55,1625000
maruti,sx4,2009,92000,petrol,manual,15.5,270000
ford,endeavour,2019,9000,diesel,automatic,12.62,3290000
maruti,swift,2008,50121,petrol,manual,20.4,341000
hyundai,grand,2014,79000,diesel,manual,24.0,415000
volkswagen,polo,2014,46000,diesel,manual,20.14,590000
mercedes-benz,e-class,2012,100000,petrol,automatic,10.0,1150000
hyundai,i20,2015,41000,petrol,manual,18.6,475000
maruti,alto,2015,25000,petrol,automatic,24.07,350000
maruti,ertiga,2014,71899,diesel,manual,20.77,725000
maruti,celerio,2016,7100,petrol,automatic,23.1,434999
renault,kwid,2018,38171,petrol,automatic,22.5,499000
mahindra,scorpio,2013,70359,diesel,manual,12.05,765000
toyota,innova,2011,200000,diesel,manual,12.8,900000
volkswagen,polo,2017,26969,diesel,manual,22.07,690000
ford,figo,2011,56500,diesel,manual,20.0,290000
nissan,terrano,2014,40000,diesel,manual,20.45,575000
force,one,2014,41000,diesel,manual,17.0,800000
renault,kwid,2017,53105,petrol,automatic,22.5,441000
skoda,rapid,2013,23000,diesel,manual,21.14,495000
mahindra,xuv500,2016,80999,diesel,automatic,16.0,1440000
ford,figo,2012,82000,diesel,manual,20.0,295000
mahindra,bolero,2017,68557,diesel,manual,15.96,814000
volkswagen,vento,2016,34000,diesel,manual,20.64,844999
toyota,innova,2015,77000,diesel,manual,12.99,1250000
mahindra,xuv500,2012,48000,diesel,manual,15.1,650000
ford,ecosport,2015,28232,petrol,manual,15.8,772000
volkswagen,jetta,2011,110000,diesel,automatic,16.96,800000
tata,new,2009,120000,diesel,manual,13.93,300000
bmw,3,2013,49000,diesel,automatic,8.2,2900000
volkswagen,polo,2014,22000,petrol,manual,16.47,411000
hyundai,i20,2015,14925,petrol,manual,18.5,537000
maruti,ertiga,2013,75000,diesel,manual,20.77,655000
honda,city,2015,23000,petrol,manual,17.4,700000
honda,city,2014,57000,petrol,manual,17.0,548000
volkswagen,jetta,2013,76718,diesel,automatic,16.96,651000
honda,amaze,2016,138000,diesel,manual,25.8,515000
mahindra,xuv500,2013,140000,diesel,manual,15.1,900000
toyota,corolla,2008,110000,petrol,automatic,14.53,275000
hyundai,santro,2005,126000,petrol,manual,17.0,120000
bmw,3,2012,73000,diesel,automatic,22.69,1250000
ford,ecosport,2017,63423,diesel,manual,23.0,769000
hyundai,i20,2013,62132,petrol,manual,18.5,457000
honda,city,2013,51000,petrol,automatic,16.8,450000
maruti,ritz,2015,75000,diesel,manual,23.2,490000
hyundai,i10,2008,55410,petrol,manual,19.81,165000
chevrolet,sail,2015,41000,petrol,manual,18.2,325000
hyundai,verna,2012,45000,diesel,manual,22.32,625000
hyundai,creta,2018,53322,petrol,manual,15.8,1213000
chevrolet,sail,2013,48000,petrol,manual,18.2,325000
audi,q5,2013,72000,diesel,automatic,14.16,2900000
honda,city,2013,50266,petrol,manual,17.0,553000
ford,ecosport,2017,21800,petrol,manual,17.0,875000
audi,q7,2014,45000,diesel,automatic,12.07,3790000
hyundai,i10,2010,62000,petrol,manual,20.36,240000
hyundai,i20,2014,41681,petrol,manual,17.0,455000
maruti,swift dzire,2011,69313,petrol,manual,17.5,265000
tata,indica,2017,49000,diesel,manual,25.0,160000
bmw,5,2012,40471,diesel,automatic,16.2,2572000
maruti,swift,2013,60000,diesel,manual,22.9,415000
ford,freestyle,2018,1001,petrol,manual,19.0,723000
hyundai,verna,2008,38000,petrol,manual,13.9,260000
bmw,3,2008,66000,diesel,automatic,16.07,725000
toyota,innova,2017,33901,diesel,manual,12.8,1429000
mercedes-benz,new,2011,57000,diesel,automatic,14.94,1725000
hyundai,elantra,2013,170000,diesel,manual,22.54,750000
maruti,ritz,2014,60000,diesel,manual,23.2,434999
maruti,vitara,2016,85000,diesel,manual,24.3,890000
hyundai,xcent,2016,146000,petrol,manual,19.1,350000
honda,city,2014,56002,diesel,manual,26.0,610000
renault,kwid,2016,8554,petrol,manual,25.17,320000
toyota,etios,2014,62322,diesel,manual,23.59,490000
maruti,alto,2015,37929,petrol,manual,24.07,369000
tata,tiago,2016,5400,petrol,manual,23.84,398000
hyundai,i20,2013,60000,diesel,manual,21.9,295000
audi,a4,2014,55730,diesel,automatic,16.55,1521000
maruti,swift,2015,62000,diesel,manual,28.4,630000
volkswagen,ameo,2017,14576,petrol,manual,17.0,669000
honda,brv,2017,17000,petrol,automatic,16.0,950000
hyundai,i20,2009,28000,petrol,manual,17.0,265000
hyundai,santa,2012,58200,diesel,manual,14.66,750000
honda,city,2002,53000,petrol,manual,0.0,185000
maruti,celerio,2018,12278,petrol,automatic,23.1,563000
hyundai,creta,2018,17665,petrol,manual,15.8,1178000
tata,indica,2004,200000,diesel,manual,17.88,85000
volkswagen,vento,2011,55893,petrol,manual,15.04,335000
maruti,celerio,2015,60586,petrol,manual,23.1,411000
mercedes-benz,cla,2015,13500,diesel,automatic,17.9,2551000
maruti,alto,2017,30000,petrol,manual,22.74,310000
ford,endeavour,2018,12000,diesel,automatic,10.91,3350000
tata,zest,2017,65000,petrol,manual,17.57,480000
volkswagen,vento,2014,38000,petrol,manual,16.09,349000
maruti,ertiga,2012,25000,petrol,manual,17.5,515000
mercedes-benz,m-class,2011,100000,diesel,automatic,14.0,1441000
volkswagen,polo,2014,13710,petrol,manual,16.2,475000
toyota,fortuner,2015,100000,diesel,automatic,12.55,1900000
maruti,celerio,2017,17000,petrol,manual,23.1,490000
bmw,3,2008,89000,diesel,automatic,16.07,630000
honda,city,2006,100173,petrol,manual,16.9,240000
mitsubishi,cedia,2009,97000,petrol,manual,13.17,300000
renault,pulse,2016,40190,petrol,manual,18.06,425000
volkswagen,polo,2016,29647,diesel,manual,20.14,630000
maruti,baleno,2018,43639,petrol,manual,21.1,815000
hyundai,i10,2012,37333,petrol,manual,20.36,322000
hyundai,i20,2018,48407,petrol,manual,18.6,765000
bmw,z4,2011,25000,petrol,automatic,10.37,3000000
hyundai,i10,2010,72400,petrol,manual,20.36,229999
mini,cooper,2012,18000,petrol,automatic,13.6,2200000
honda,brio,2012,65167,petrol,manual,19.4,328000
maruti,ciaz,2016,25418,petrol,manual,20.73,709000
maruti,swift dzire,2013,38995,diesel,manual,19.3,646000
volkswagen,polo,2012,60000,diesel,manual,22.07,400000
bmw,x1,2011,72000,diesel,automatic,17.05,1100000
audi,q7,2016,31075,diesel,automatic,12.07,4979000
ford,figo,2015,4311,diesel,manual,25.83,480000
bmw,3,2017,21000,diesel,automatic,21.76,3500000
mercedes-benz,m-class,2011,54000,diesel,automatic,14.0,2199000
maruti,wagon r,2007,50000,petrol,manual,17.3,110000
maruti,baleno,2018,13000,petrol,manual,21.4,660000
maruti,dzire vxi,2013,74000,petrol,manual,22.0,450000
chevrolet,aveo,2009,75000,petrol,manual,14.7,100000
volkswagen,polo,2017,25000,diesel,manual,20.14,690000
land,rover,2012,139000,diesel,automatic,0.0,1675000
audi,q5,2015,52000,diesel,automatic,14.16,2549000
audi,a6,2015,20000,diesel,automatic,18.53,3550000
hyundai,grand,2018,32663,diesel,manual,24.0,628000
mahindra,scorpio,2012,76777,diesel,manual,12.05,488000
tata,bolt,2016,100303,diesel,manual,22.95,370000
hyundai,eon,2015,43993,petrol,manual,21.1,345000
mahindra,scorpio,2016,72118,diesel,manual,15.4,1023000
honda,accord,2010,83000,petrol,automatic,11.1,650000
volkswagen,polo,2016,7523,petrol,manual,16.2,615000
maruti,eeco,2014,34670,petrol,manual,15.1,290000
hyundai,grand,2016,30000,diesel,manual,24.0,550000
ford,endeavour,2017,17000,diesel,automatic,10.91,3100000
hyundai,grand,2015,59261,diesel,manual,24.0,425000
maruti,swift,2016,65210,diesel,manual,22.9,548000
hyundai,i20,2016,19000,petrol,manual,18.6,725000
maruti,swift dzire,2012,50000,petrol,manual,17.5,300000
bmw,3,2015,47000,diesel,automatic,22.69,2950000
honda,city,2007,75000,petrol,manual,17.7,149000
hyundai,i10,2013,54534,petrol,automatic,16.95,365000
ford,ecosport,2018,13000,diesel,manual,23.0,1090000
maruti,celerio,2015,48808,petrol,manual,23.1,430000
maruti,ertiga,2012,63001,diesel,manual,20.77,611000
toyota,innova,2015,64771,diesel,manual,12.8,1550000
honda,city,2016,34634,petrol,manual,17.8,690000
maruti,swift dzire,2012,69242,petrol,manual,19.1,469000
maruti,ritz,2011,33292,petrol,manual,18.5,319000
hyundai,i20,2012,55000,petrol,automatic,15.0,375000
hyundai,i20,2019,1000,petrol,manual,17.19,860000
honda,city,2011,80000,petrol,manual,17.0,385000
porsche,cayenne,2016,65003,diesel,automatic,13.6,6783000
honda,amaze,2019,16573,petrol,manual,17.8,931000
honda,civic,2008,152633,petrol,automatic,12.9,300000
hyundai,i20,2015,53000,petrol,manual,18.6,550000
hyundai,creta,2017,50129,diesel,manual,19.67,1330000
audi,q3,2013,63716,diesel,automatic,15.73,2300000
maruti,alto,2018,11000,petrol,manual,24.7,335000
bmw,x1,2012,115000,diesel,automatic,15.06,1000000
hyundai,i10,2013,63265,petrol,manual,20.36,295000
volkswagen,ameo,2016,20000,diesel,manual,21.66,675000
volkswagen,polo,2010,79000,petrol,manual,16.47,244000
maruti,ciaz,2015,41000,petrol,manual,20.73,585000
volkswagen,polo,2015,26323,petrol,automatic,17.21,740000
hyundai,xcent,2016,76000,diesel,manual,24.4,380000
honda,civic,2008,69972,petrol,manual,13.5,380000
honda,city,2008,69000,petrol,manual,17.7,270000
mahindra,bolero,2016,65000,diesel,manual,15.96,721000
honda,city,2016,29512,petrol,manual,17.4,790000
hyundai,xcent,2017,51000,diesel,manual,25.4,420000
renault,duster,2014,58003,diesel,manual,19.01,575000
maruti,a-star,2013,56500,petrol,automatic,16.98,345000
audi,a4,2014,29063,diesel,automatic,17.11,2575000
mahindra,xuv500,2018,46811,diesel,manual,16.0,1659000
renault,pulse,2014,31897,petrol,manual,18.06,469000
bmw,3,2009,52100,diesel,automatic,13.2,750000
toyota,innova,2016,73000,diesel,manual,13.68,1650000
honda,city,2009,31423,petrol,manual,17.0,199000
maruti,swift,2014,75180,diesel,manual,22.9,525000
renault,duster,2013,75000,diesel,manual,19.64,540000
volkswagen,polo,2014,15000,petrol,manual,16.47,390000
hyundai,i20,2015,12000,petrol,manual,17.19,580000
bmw,5,2014,32000,diesel,automatic,18.12,3050000
maruti,swift dzire,2017,44504,diesel,manual,23.4,560000
mercedes-benz,m-class,2012,66000,diesel,automatic,0.0,2300000
maruti,swift,2015,39437,diesel,manual,28.4,515000
hyundai,verna,2017,36931,diesel,automatic,19.08,948000
tata,nano,2016,17800,petrol,automatic,21.9,238000
maruti,swift dzire,2009,71346,petrol,manual,17.5,380000
hyundai,i20,2015,45000,petrol,manual,18.6,550000
hyundai,i20,2010,85155,petrol,manual,17.0,355000
maruti,ciaz,2015,48823,petrol,manual,20.73,635000
land,rover,2015,37000,diesel,automatic,12.7,3600000
tata,indigo,2005,92000,diesel,manual,16.1,110000
tata,zest,2014,36000,petrol,manual,17.57,370000
mahindra,xuv500,2016,24569,diesel,manual,16.0,1350000
honda,accord,2008,95000,petrol,automatic,11.7,285000
tata,nano,2015,25811,petrol,manual,25.4,213000
hyundai,elantra,2015,65000,diesel,manual,22.7,775000
tata,indica,2017,100400,diesel,manual,25.0,285000
honda,amaze,2014,76414,diesel,manual,25.8,495000
mahindra,xuv500,2012,82103,diesel,manual,15.1,620000
bmw,x3,2013,98000,diesel,automatic,18.56,1750000
hyundai,grand,2010,45252,petrol,manual,18.9,225000
maruti,baleno,2017,10300,petrol,manual,21.4,675000
hyundai,verna,2016,42024,diesel,automatic,19.08,973000
maruti,ertiga,2018,51236,diesel,manual,25.47,849000
mini,cooper,2013,52000,petrol,automatic,13.6,2500000
maruti,ritz,2015,42894,diesel,manual,23.2,559000
skoda,laura,2011,68000,diesel,automatic,15.6,480000
ford,ecosport,2014,69000,diesel,manual,22.7,545000
hyundai,i20,2017,10000,petrol,manual,18.6,650000
honda,brio,2015,16000,petrol,manual,19.4,434999
honda,amaze,2013,46992,diesel,manual,25.8,375000
bmw,5,2010,170000,diesel,automatic,18.48,1200000
audi,q7,2014,58000,diesel,automatic,12.07,3200000
hyundai,grand,2015,50000,diesel,manual,24.0,400000
nissan,micra,2011,39010,diesel,manual,23.08,260000
hyundai,grand,2016,26946,petrol,manual,18.9,445000
hyundai,eon,2015,28700,petrol,manual,21.1,260000
mercedes-benz,new,2011,60000,petrol,automatic,11.74,1600000
land,rover,2014,38999,diesel,automatic,12.7,3250000
mahindra,ssangyong,2016,39000,diesel,automatic,11.18,1385000
maruti,ciaz,2018,7784,petrol,manual,20.73,876000
mercedes-benz,r-class,2014,45710,petrol,automatic,11.8,2368000
maruti,dzire,2017,42000,petrol,automatic,22.0,550000
land,rover,2013,75995,diesel,automatic,11.49,6581000
renault,duster,2013,57000,diesel,manual,19.01,499000
hyundai,verna,2013,85350,diesel,manual,22.32,570000
toyota,corolla,2016,82725,petrol,automatic,14.28,1199000
bmw,3,2016,19000,diesel,automatic,21.76,2999000
ford,ecosport,2018,13900,petrol,manual,18.88,950000
maruti,swift,2014,108000,diesel,manual,25.2,550000
hyundai,santa,2016,36000,diesel,automatic,11.72,2300000
tata,indica,2013,62188,diesel,manual,17.2,295000
hyundai,grand,2015,58397,diesel,manual,24.0,490000
hyundai,santro,2006,85000,petrol,manual,0.0,130000
maruti,wagon r,2016,30000,petrol,automatic,22.5,425000
mahindra,xuv500,2018,29907,diesel,manual,16.0,1636000
audi,a4,2009,46000,diesel,automatic,16.55,994999
volkswagen,vento,2012,65000,diesel,manual,20.54,550000
maruti,vitara,2016,22000,diesel,manual,24.3,825000
maruti,zen,2002,99024,petrol,manual,17.3,95000
hyundai,i10,2016,34952,petrol,manual,19.81,401000
honda,wr-v,2019,13913,petrol,manual,17.5,819999
honda,city,2014,71000,diesel,manual,25.1,620000
toyota,fortuner,2012,97000,diesel,automatic,11.5,1675000
mahindra,xuv500,2017,21000,diesel,automatic,16.0,1650000
ford,endeavour,2007,116000,diesel,manual,10.9,375000
ford,figo,2012,110438,diesel,manual,20.0,350000
honda,jazz,2017,66507,petrol,automatic,19.0,543000
ford,endeavour,2017,54650,diesel,automatic,10.91,3035000
nissan,sunny,2014,32000,petrol,automatic,17.97,799000
skoda,octavia,2011,75378,diesel,manual,18.7,359000
chevrolet,beat,2012,82697,diesel,manual,25.44,190000
toyota,camry,2009,135000,petrol,automatic,12.1,470000
renault,duster,2012,149000,diesel,manual,19.01,725000
mercedes-benz,gla,2016,26212,diesel,automatic,17.9,2446000
tata,zest,2014,23500,petrol,manual,17.57,390000
hyundai,i20,2013,56127,petrol,manual,18.5,515000
maruti,wagon r,2015,26000,petrol,automatic,21.5,365000
hyundai,xcent,2016,26000,diesel,manual,25.4,500000
honda,city,2009,42000,petrol,manual,17.0,229999
hyundai,accent,2001,130000,petrol,manual,13.2,75000
hyundai,verna,2009,137148,petrol,manual,13.9,185000
ford,figo,2010,114703,petrol,manual,15.6,180000
honda,amaze,2014,97439,diesel,manual,25.8,441000
maruti,wagon r,2006,40000,petrol,manual,18.9,200000
maruti,swift,2014,81609,diesel,manual,17.8,555000
mercedes-benz,e-class,2014,28000,diesel,automatic,13.0,3175000
audi,a6,2015,37500,diesel,automatic,17.68,3200000
mercedes-benz,s,2010,37000,diesel,automatic,13.5,2100000
maruti,swift dzire,2010,83000,diesel,manual,19.3,275000
toyota,corolla,2005,79012,petrol,manual,13.4,264000
mahindra,scorpio,2018,27395,diesel,manual,15.4,1419000
maruti,wagon r,2017,35362,petrol,manual,22.5,385000
toyota,fortuner,2014,117000,diesel,manual,13.0,1550000
maruti,zen,2010,23000,petrol,manual,18.2,190000
tata,nano,2014,59508,petrol,manual,25.4,126000
hyundai,i20,2009,69000,petrol,manual,18.5,240000
bmw,3,2010,58000,diesel,automatic,22.69,1150000
mahindra,xuv500,2014,88511,diesel,manual,16.0,825000
volkswagen,vento,2011,66000,petrol,manual,15.8,275000
skoda,fabia,2009,65000,petrol,manual,17.5,140000
tata,nano,2015,30676,petrol,manual,25.4,290000
ford,figo,2011,76000,diesel,manual,20.0,240000
volkswagen,vento,2013,23627,petrol,automatic,14.8,475000
land,rover,2018,52827,diesel,automatic,12.7,4476000
honda,city,2015,64465,diesel,manual,26.0,622000
renault,kwid,2018,14000,petrol,automatic,22.5,450000
hyundai,grand,2015,26000,petrol,manual,18.9,425000
chevrolet,cruze,2011,78203,diesel,automatic,18.1,550000
hyundai,i20,2017,27000,diesel,manual,22.54,695000
maruti,alto,2018,31919,petrol,automatic,24.07,455999
hyundai,creta,2016,47392,diesel,manual,20.5,1382000
honda,amaze,2016,17362,petrol,manual,18.0,565000
hyundai,i20,2016,49716,diesel,manual,21.19,620000
maruti,celerio,2014,48000,petrol,manual,23.1,325000
audi,a4,2009,46000,diesel,automatic,16.55,850000
hyundai,verna,2016,79000,diesel,manual,24.8,725000
renault,fluence,2013,57000,diesel,manual,21.8,461000
volkswagen,polo,2016,29754,petrol,manual,16.2,530000
tata,indigo,2012,50123,diesel,manual,17.0,190000
hyundai,i10,2012,57184,petrol,manual,20.36,309000
bmw,7,2007,75000,diesel,automatic,16.46,950000
hyundai,creta,2015,26000,diesel,automatic,17.01,1265000
hyundai,grand,2016,22129,petrol,manual,18.9,425000
maruti,ritz,2011,127887,diesel,manual,21.1,295000
mahindra,scorpio,2006,92000,diesel,manual,10.5,345000
hyundai,i10,2011,60634,petrol,manual,19.81,330000
tata,safari,2014,90000,diesel,manual,14.0,800000
honda,civic,2009,59000,petrol,manual,13.5,271000
maruti,zen,2012,59293,petrol,manual,18.2,270000
maruti,swift dzire,2012,80753,diesel,manual,23.4,450000
toyota,fortuner,2015,40000,diesel,manual,13.0,1875000
maruti,swift,2014,103000,diesel,manual,28.4,525000
maruti,wagon r,2012,72389,lpg,manual,26.2,320000
maruti,dzire,2017,48000,diesel,manual,28.4,600000
hyundai,grand,2014,41000,petrol,manual,18.9,314000
renault,kwid,2016,26000,petrol,manual,25.17,254999
tata,indigo,2012,30000,petrol,manual,15.64,229999
ford,figo,2014,74624,diesel,manual,20.0,565000
porsche,cayenne,2015,47877,diesel,automatic,15.15,4822000
maruti,alto,2016,35000,petrol,manual,24.07,300000
volkswagen,vento,2015,52123,diesel,manual,20.34,750000
mahindra,scorpio,2005,90000,diesel,manual,10.5,260000
bmw,x3,2018,1400,diesel,automatic,18.56,6125000
honda,city,2009,122000,petrol,manual,17.0,350000
mini,cooper,2016,21110,petrol,automatic,17.44,2895000
mitsubishi,pajero,2015,78000,diesel,automatic,13.5,1500000
maruti,swift dzire,2012,72000,diesel,manual,19.3,425000
bentley,continental,2006,48000,petrol,automatic,8.6,5900000
maruti,ertiga,2013,43486,diesel,manual,20.77,660000
toyota,innova,2007,199000,diesel,manual,12.8,520000
mercedes-benz,new,2010,34000,petrol,manual,11.7,1000000
mercedes-benz,new,2016,37944,diesel,automatic,14.84,3500000
ford,ecosport,2017,30000,diesel,manual,22.7,875000
toyota,etios,2015,64005,petrol,manual,17.71,457000
hyundai,i10,2012,62000,petrol,manual,20.36,250000
hyundai,santro,2005,105000,petrol,manual,0.0,175000
land,rover,2014,59885,diesel,automatic,12.39,2011000
toyota,innova,2011,144471,diesel,manual,12.8,780000
hyundai,i20,2011,63991,petrol,manual,18.5,361000
hyundai,santro,2007,72000,petrol,manual,17.0,111000
nissan,micra,2015,34895,petrol,automatic,19.15,459999
bmw,x6,2015,97003,diesel,automatic,15.87,8500000
honda,city,2015,45000,petrol,automatic,16.8,525000
honda,amaze,2013,45000,diesel,manual,25.8,330000
toyota,fortuner,2013,100000,diesel,manual,11.5,1775000
land,rover,2016,70000,diesel,automatic,12.97,3500000
hyundai,creta,2016,37023,diesel,manual,19.67,1339000
chevrolet,beat,2012,81000,diesel,manual,25.44,250000
toyota,innova,2017,20789,diesel,automatic,11.36,1836000
maruti,swift dzire,2015,68310,diesel,manual,23.4,595000
hyundai,creta,2015,47250,diesel,manual,19.67,1100000
land,rover,2014,47000,diesel,automatic,12.65,6475000
honda,amaze,2017,128000,diesel,manual,25.8,630000
hyundai,creta,2017,17702,petrol,manual,15.29,1194000
volkswagen,vento,2014,34987,petrol,automatic,18.19,595000
honda,city,2017,37000,diesel,manual,26.0,1100000
hyundai,creta,2017,38271,petrol,manual,15.29,1253000
ford,figo,2012,32510,diesel,manual,20.0,375000
bmw,5,2014,88000,diesel,automatic,14.69,2700000
mitsubishi,pajero,2012,116000,diesel,manual,10.5,994999
renault,duster,2013,156000,diesel,manual,19.87,420000
maruti,ritz,2010,75319,petrol,manual,21.1,200000
hyundai,grand,2013,28000,petrol,manual,18.9,325000
mercedes-benz,gla,2017,16500,diesel,automatic,17.9,3400000
bmw,5,2016,75637,diesel,automatic,22.48,3037000
hyundai,creta,2018,32854,petrol,automatic,13.0,1260000
renault,kwid,2019,6568,petrol,manual,25.17,509000
audi,a4,2014,30000,diesel,automatic,14.94,2450000
maruti,ciaz,2018,17804,diesel,manual,28.09,797000
honda,jazz,2011,69768,petrol,manual,16.0,290000
bmw,3,2016,62404,diesel,automatic,22.69,2133000
hyundai,verna,2012,97000,diesel,automatic,19.08,650000
hyundai,creta,2016,55687,diesel,manual,21.38,1215000
volkswagen,vento,2014,17000,petrol,manual,15.04,425000
bmw,3,2017,34232,diesel,automatic,21.76,3584000
honda,cr-v,2004,135000,petrol,automatic,14.4,300000
renault,duster,2012,80000,diesel,manual,19.72,675000
hyundai,i20,2014,31045,petrol,manual,18.6,565000
volkswagen,jetta,2013,58000,diesel,automatic,16.96,750000
hyundai,creta,2018,35480,diesel,manual,19.67,1334000
maruti,ciaz,2016,62287,diesel,manual,28.09,790000
hyundai,i20,2015,46162,diesel,manual,22.54,698000
hyundai,verna,2014,9200,petrol,manual,17.01,575000
volkswagen,polo,2012,55339,diesel,manual,22.07,265000
volkswagen,polo,2011,55476,diesel,manual,22.07,249000
maruti,sx4,2007,68553,petrol,manual,15.0,150000
honda,mobilio,2016,67376,diesel,manual,24.5,650000
renault,duster,2013,42000,diesel,manual,19.64,800000
toyota,fortuner,2019,28069,diesel,automatic,12.9,3085000
volvo,xc60,2014,93144,diesel,automatic,14.7,1714999
maruti,celerio,2014,24300,petrol,automatic,23.1,455000
maruti,ciaz,2015,47883,diesel,manual,26.21,740000
audi,q5,2013,12467,diesel,automatic,12.8,2564000
bmw,x1,2013,56683,diesel,automatic,17.05,1350000
ford,figo,2013,38000,petrol,manual,15.6,355000
hyundai,elantra,2018,35000,diesel,manual,22.7,1500000
hyundai,verna,2007,80000,petrol,manual,13.9,195000
honda,civic,2006,125000,petrol,manual,13.5,229999
toyota,fortuner,2013,123000,diesel,manual,12.55,1500000
hyundai,i10,2012,70000,petrol,manual,20.36,315000
nissan,sunny,2012,87982,diesel,manual,21.64,500000
bmw,5,2013,40714,diesel,automatic,18.12,2475000
chevrolet,optra,2008,83000,diesel,manual,16.52,260000
hyundai,i10,2011,86000,petrol,manual,20.36,375000
skoda,laura,2009,60002,diesel,manual,17.5,484999
mercedes-benz,e-class,2013,60000,diesel,automatic,10.0,2700000
honda,amaze,2014,84677,diesel,manual,25.8,300000
bmw,x1,2017,23000,diesel,automatic,20.68,2875000
